,ROCK_0,MCAR_0,19TH_0,12TH_0,WOAK_0,EMBR_0,MONT_0,POWL_0,CIVC_0
102,3/12/2015 7:36,3/12/2015 7:40,3/12/2015 7:43,3/12/2015 7:45,3/12/2015 7:49,3/12/2015 7:56,3/12/2015 7:58,3/12/2015 8:00,3/12/2015 8:02
103,3/12/2015 7:49,3/12/2015 7:53,3/12/2015 7:57,3/12/2015 7:59,3/12/2015 8:05,3/12/2015 8:14,3/12/2015 8:16,3/12/2015 8:17,3/12/2015 8:19
104,3/12/2015 8:07,3/12/2015 8:11,3/12/2015 8:15,3/12/2015 8:17,3/12/2015 8:21,3/12/2015 8:32,3/12/2015 8:34,3/12/2015 8:35,3/12/2015 8:37
105,3/12/2015 8:19,3/12/2015 8:23,3/12/2015 8:26,3/12/2015 8:28,3/12/2015 8:33,3/12/2015 8:44,3/12/2015 8:45,3/12/2015 8:47,3/12/2015 8:49
106,3/12/2015 8:35,3/12/2015 8:38,3/12/2015 8:43,3/12/2015 8:45,3/12/2015 8:50,3/12/2015 8:58,3/12/2015 9:00,3/12/2015 9:02,3/12/2015 9:03
107,3/12/2015 8:50,3/12/2015 8:53,3/12/2015 8:56,3/12/2015 8:58,3/12/2015 9:03,3/12/2015 9:10,3/12/2015 9:12,3/12/2015 9:14,3/12/2015 9:15
108,3/13/2015 6:04,3/13/2015 6:08,3/13/2015 6:11,3/13/2015 6:12,3/13/2015 6:18,3/13/2015 6:24,3/13/2015 6:26,3/13/2015 6:27,3/13/2015 6:29
109,3/13/2015 6:19,3/13/2015 6:23,3/13/2015 6:26,3/13/2015 6:28,3/13/2015 6:32,3/13/2015 6:39,3/13/2015 6:40,3/13/2015 6:42,3/13/2015 6:44
110,3/13/2015 6:35,3/13/2015 6:38,3/13/2015 6:41,3/13/2015 6:43,3/13/2015 6:47,3/13/2015 6:55,3/13/2015 6:57,3/13/2015 6:58,3/13/2015 7:00
111,3/13/2015 6:51,3/13/2015 6:54,3/13/2015 6:57,3/13/2015 6:58,3/13/2015 7:02,3/13/2015 7:09,3/13/2015 7:11,3/13/2015 7:12,3/13/2015 7:14
112,3/13/2015 7:05,3/13/2015 7:08,3/13/2015 7:11,3/13/2015 7:13,3/13/2015 7:17,3/13/2015 7:24,3/13/2015 7:26,3/13/2015 7:28,3/13/2015 7:29
113,3/13/2015 7:20,3/13/2015 7:23,3/13/2015 7:26,3/13/2015 7:28,3/13/2015 7:33,3/13/2015 7:40,3/13/2015 7:42,3/13/2015 7:43,3/13/2015 7:44
114,3/13/2015 7:38,3/13/2015 7:42,3/13/2015 7:45,3/13/2015 7:47,3/13/2015 7:51,3/13/2015 7:58,3/13/2015 8:00,3/13/2015 8:02,3/13/2015 8:03
115,3/13/2015 7:51,3/13/2015 7:54,3/13/2015 7:57,3/13/2015 7:59,3/13/2015 8:04,3/13/2015 8:13,3/13/2015 8:14,3/13/2015 8:16,3/13/2015 8:17
116,3/13/2015 8:12,3/13/2015 8:15,3/13/2015 8:19,3/13/2015 8:21,3/13/2015 8:25,3/13/2015 8:33,3/13/2015 8:35,3/13/2015 8:37,3/13/2015 8:38
117,3/13/2015 8:20,3/13/2015 8:23,3/13/2015 8:27,3/13/2015 8:29,3/13/2015 8:36,3/13/2015 8:44,3/13/2015 8:46,3/13/2015 8:48,3/13/2015 8:50
118,3/13/2015 8:34,3/13/2015 8:38,3/13/2015 8:42,3/13/2015 8:43,3/13/2015 8:48,3/13/2015 8:56,3/13/2015 8:58,3/13/2015 9:00,3/13/2015 9:01
119,3/13/2015 8:50,3/13/2015 8:53,3/13/2015 8:56,3/13/2015 8:58,3/13/2015 9:03,3/13/2015 9:10,3/13/2015 9:11,3/13/2015 9:13,3/13/2015 9:15
120,3/14/2015 6:10,3/14/2015 6:14,3/14/2015 6:18,3/14/2015 6:20,3/14/2015 6:25,3/14/2015 6:32,3/14/2015 6:33,3/14/2015 6:35,3/14/2015 6:36
121,3/14/2015 6:31,3/14/2015 6:34,3/14/2015 6:38,3/14/2015 6:40,3/14/2015 6:44,3/14/2015 6:51,3/14/2015 6:53,3/14/2015 6:55,3/14/2015 6:56
122,3/14/2015 6:50,3/14/2015 6:54,3/14/2015 6:58,3/14/2015 7:00,3/14/2015 7:04,3/14/2015 7:11,3/14/2015 7:13,3/14/2015 7:15,3/14/2015 7:16
123,3/14/2015 7:10,3/14/2015 7:14,3/14/2015 7:18,3/14/2015 7:20,3/14/2015 7:25,3/14/2015 7:32,3/14/2015 7:33,3/14/2015 7:35,3/14/2015 7:37
124,3/14/2015 7:30,3/14/2015 7:34,3/14/2015 7:39,3/14/2015 7:40,3/14/2015 7:44,3/14/2015 7:51,3/14/2015 7:53,3/14/2015 7:55,3/14/2015 7:57
125,3/14/2015 7:50,3/14/2015 7:54,3/14/2015 7:58,3/14/2015 8:00,3/14/2015 8:04,3/14/2015 8:12,3/14/2015 8:13,3/14/2015 8:15,3/14/2015 8:16
126,3/14/2015 8:10,3/14/2015 8:14,3/14/2015 8:17,3/14/2015 8:19,3/14/2015 8:24,3/14/2015 8:32,3/14/2015 8:33,3/14/2015 8:35,3/14/2015 8:36
127,3/14/2015 8:32,3/14/2015 8:35,3/14/2015 8:39,3/14/2015 8:40,3/14/2015 8:45,3/14/2015 8:52,3/14/2015 8:54,3/14/2015 8:55,3/14/2015 8:57
128,3/14/2015 8:50,3/14/2015 8:54,3/14/2015 8:58,3/14/2015 8:59,3/14/2015 9:04,3/14/2015 9:12,3/14/2015 9:13,3/14/2015 9:14,3/14/2015 9:17
129,3/15/2015 8:10,3/15/2015 8:14,3/15/2015 8:18,3/15/2015 8:20,3/15/2015 8:25,3/15/2015 8:32,3/15/2015 8:34,3/15/2015 8:35,3/15/2015 8:37
130,3/15/2015 8:37,3/15/2015 8:40,3/15/2015 8:43,3/15/2015 8:45,3/15/2015 8:49,3/15/2015 8:56,3/15/2015 8:57,3/15/2015 8:59,3/15/2015 9:00
131,3/16/2015 6:05,3/16/2015 6:08,3/16/2015 6:13,3/16/2015 6:14,3/16/2015 6:18,3/16/2015 6:25,3/16/2015 6:27,3/16/2015 6:28,3/16/2015 6:30
132,3/16/2015 6:20,3/16/2015 6:23,3/16/2015 6:30,3/16/2015 6:31,3/16/2015 6:35,3/16/2015 6:42,3/16/2015 6:43,3/16/2015 6:45,3/16/2015 6:46
133,3/16/2015 6:35,3/16/2015 6:38,3/16/2015 6:41,3/16/2015 6:43,3/16/2015 6:48,3/16/2015 6:55,3/16/2015 6:57,3/16/2015 6:59,3/16/2015 7:00
134,3/16/2015 6:52,3/16/2015 6:55,3/16/2015 6:58,3/16/2015 6:59,3/16/2015 7:04,3/16/2015 7:11,3/16/2015 7:12,3/16/2015 7:14,3/16/2015 7:15
135,3/16/2015 7:06,3/16/2015 7:09,3/16/2015 7:12,3/16/2015 7:14,3/16/2015 7:18,3/16/2015 7:25,3/16/2015 7:27,3/16/2015 7:28,3/16/2015 7:30
